Year,State,State Code,Deaths,Population,Crude Rate
1989,Utah,49,319,1706799,18.7
1989,Vermont,50,255,557960,45.7
1989,Virginia,51,3314,6128424,54.1
1989,Washington,53,2513,4748909,52.9
1989,West Virginia,54,1374,1806822,76.0
1989,Wisconsin,55,2271,4855689,46.8
1989,Wyoming,56,181,457896,39.5
1990,Alabama,1,2525,4043643,62.4
1990,Alaska,2,147,549982,26.7
1990,Arizona,4,1913,3670009,52.1
1990,Arkansas,5,1829,2352527,77.7
1990,California,6,13306,29829422,44.6
1990,Colorado,8,1184,3295529,35.9
1990,Connecticut,9,1754,3287825,53.3
1990,Delaware,10,452,666780,67.8
1990,District of Columbia,11,352,609615,57.7
1990,Florida,12,10264,12952277,79.2
1990,Georgia,13,3388,6483380,52.3
1990,Hawaii,15,395,1109946,35.6
1990,Idaho,16,408,1006693,40.5
1990,Illinois,17,6508,11443138,56.9
1990,Indiana,18,3493,5546819,63.0
1990,Iowa,19,1569,2776587,56.5
1990,Kansas,20,1376,2477805,55.5
1990,Kentucky,21,2816,3687389,76.4
1990,Louisiana,22,2685,4222456,63.6
1990,Maine,23,795,1227806,64.7
1990,Maryland,24,2850,4784119,59.6
1990,Massachusetts,25,3284,6018936,54.6
1990,Michigan,26,5041,9297733,54.2
1990,Minnesota,27,1912,4374144,43.7
1990,Mississippi,28,1612,2575063,62.6
1990,Missouri,29,3456,5119810,67.5
1990,Montana,30,412,798774,51.6
1990,Nebraska,31,862,1578064,54.6
1990,Nevada,32,713,1202941,59.3
1990,New Hampshire,33,527,1109074,47.5
1990,New Jersey,34,4712,7735834,60.9
1990,New Mexico,35,556,1515717,36.7
1990,New York,36,9850,18010739,54.7
1990,North Carolina,37,3933,6633506,59.3
1990,North Dakota,38,308,638325,48.3
1990,Ohio,39,6839,10850094,63.0
1990,Oklahoma,40,2057,3146136,65.4
1990,Oregon,41,1821,2843155,64.0
1990,Pennsylvania,42,7804,11886559,65.7
1990,Rhode Island,44,618,1004026,61.6
1990,South Carolina,45,2029,3489605,58.1
1990,South Dakota,46,308,695805,44.3
1990,Tennessee,47,3371,4880859,69.1
1990,Texas,48,8558,17008748,50.3
1990,Utah,49,302,1723370,17.5
1990,Vermont,50,321,562489,57.1
1990,Virginia,51,3367,6191428,54.4
1990,Washington,53,2652,4868410,54.5
1990,West Virginia,54,1430,1794262,79.7
1990,Wisconsin,55,2431,4891217,49.7
1990,Wyoming,56,190,453541,41.9
1991,Alabama,1,2646,4101607,64.5
1991,Alaska,2,151,570440,26.5
1991,Arizona,4,2039,3789418,53.8
1991,Arkansas,5,1842,2384138,77.3
1991,California,6,13517,30482745,44.3
1991,Colorado,8,1259,3387824,37.2
1991,Connecticut,9,1848,3303749,55.9
1991,Delaware,10,456,683489,66.7
1991,District of Columbia,11,351,603671,58.1
