Year,State,State Code,Deaths,Population,Crude Rate
1978,Iowa,19,1188,2920970,40.7
1978,Kansas,20,1006,2335833,43.1
1978,Kentucky,21,1794,3614071,49.6
1978,Louisiana,22,1747,4080867,42.8
1978,Maine,23,545,1115688,48.8
1978,Maryland,24,1870,4212541,44.4
1978,Massachusetts,25,2602,5743136,45.3
1978,Michigan,26,3707,9205747,40.3
1978,Minnesota,27,1295,4008285,32.3
1978,Mississippi,28,1058,2490446,42.5
1978,Missouri,29,2404,4875833,49.3
1978,Montana,30,283,785301,36.0
1978,Nebraska,31,629,1562649,40.3
1978,Nevada,32,284,720379,39.4
1978,New Hampshire,33,372,894154,41.6
1978,New Jersey,34,3558,7357451,48.4
1978,New Mexico,35,311,1254377,24.8
1978,New York,36,8015,17727471,45.2
1978,North Carolina,37,2130,5741716,37.1
1978,North Dakota,38,189,651776,29.0
1978,Ohio,39,4806,10800633,44.5
1978,Oklahoma,40,1395,2915465,47.8
1978,Oregon,41,1095,2512458,43.6
1978,Pennsylvania,42,5644,11868307,47.6
1978,Rhode Island,44,473,957172,49.4
1978,South Carolina,45,1061,3044232,34.9
1978,South Dakota,46,231,690535,33.5
1978,Tennessee,47,1981,4465346,44.4
1978,Texas,48,5231,13518570,38.7
1978,Utah,49,178,1369925,13.0
1978,Vermont,50,219,498405,43.9
1978,Virginia,51,2200,5286164,41.6
1978,Washington,53,1557,3889962,40.0
1978,West Virginia,54,972,1921469,50.6
1978,Wisconsin,55,1620,4633340,35.0
1978,Wyoming,56,111,431897,25.7
1979,Alabama,1,1779,3873403,45.9
1979,Alaska,2,85,404735,21.0
1979,Arizona,4,1034,2643879,39.1
1979,Arkansas,5,1184,2270804,52.1
1979,California,6,9427,23304422,40.5
1979,Colorado,8,712,2854156,24.9
1979,Connecticut,9,1352,3101686,43.6
1979,Delaware,10,278,599476,46.4
1979,District of Columbia,11,332,658050,50.5
1979,Florida,12,6027,9480731,63.6
1979,Georgia,13,2081,5397054,38.6
1979,Hawaii,15,257,952438,27.0
1979,Idaho,16,248,934621,26.5
1979,Illinois,17,5214,11440371,45.6
1979,Indiana,18,2512,5479304,45.8
1979,Iowa,19,1257,2919960,43.0
1979,Kansas,20,1005,2351528,42.7
1979,Kentucky,21,1816,3646979,49.8
1979,Louisiana,22,1814,4148645,43.7
1979,Maine,23,568,1125556,50.5
1979,Maryland,24,2026,4227079,47.9
1979,Massachusetts,25,2646,5748843,46.0
1979,Michigan,26,3763,9257009,40.7
1979,Minnesota,27,1327,4043445,32.8
1979,Mississippi,28,1098,2511256,43.7
1979,Missouri,29,2602,4896275,53.1
1979,Montana,30,261,790598,33.0
1979,Nebraska,31,615,1566773,39.3
1979,Nevada,32,333,766883,43.4
1979,New Hampshire,33,380,912305,41.7
1979,New Jersey,34,3607,7376891,48.9
1979,New Mexico,35,357,1283865,27.8
1979,New York,36,8036,17642635,45.5
1979,North Carolina,37,2226,5805293,38.3
1979,North Dakota,38,199,653417,30.5
1979,Ohio,39,5002,10809033,46.3
1979,Oklahoma,40,1509,2974068,50.7
1979,Oregon,41,1234,2581971,47.8
1979,Pennsylvania,42,5815,11882234,48.9
1979,Rhode Island,44,490,957016,51.2
1979,South Carolina,45,1172,3090454,37.9
1979,South Dakota,46,233,690740,33.7
